epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.083,1.19928,2.04856,1.34064,0.45404,0.50426,0.4618,0.25909,1.38829,2.45045,1.43686,0.000663399,0.000663399,0.000663399
2,122.118,1.31135,1.62197,1.42146,0.53754,0.48295,0.45971,0.28734,1.47013,2.28145,1.6189,0.0013169,0.0013169,0.0013169
3,186.987,1.38036,1.51241,1.46034,0.52728,0.53835,0.53036,0.30522,1.40474,2.39687,1.51848,0.0019572,0.0019572,0.0019572
4,242.719,1.31893,1.37404,1.41172,0.71704,0.55114,0.65043,0.41759,1.35076,1.4729,1.46234,0.0019406,0.0019406,0.0019406
5,296.868,1.27409,1.29702,1.37848,0.73548,0.52841,0.61348,0.39026,1.3832,1.5996,1.48643,0.0019208,0.0019208,0.0019208
6,350.87,1.22298,1.18766,1.34407,0.81207,0.6936,0.78546,0.53017,1.20285,1.1447,1.32897,0.001901,0.001901,0.001901
7,405.3,1.16049,1.12434,1.30968,0.83018,0.743,0.80891,0.56558,1.11144,1.02954,1.28049,0.0018812,0.0018812,0.0018812
8,459.522,1.14844,1.07106,1.29284,0.78963,0.71591,0.79058,0.56331,1.05728,1.05232,1.25085,0.0018614,0.0018614,0.0018614
9,513.788,1.12492,1.02792,1.27996,0.79315,0.71897,0.79953,0.56415,1.10222,1.0035,1.26504,0.0018416,0.0018416,0.0018416
10,568.024,1.09149,1.00767,1.25934,0.82948,0.67614,0.79963,0.53906,1.13186,1.04205,1.29675,0.0018218,0.0018218,0.0018218
11,622.396,1.07144,0.99138,1.24013,0.87271,0.71449,0.83208,0.60408,1.01347,0.90299,1.20082,0.001802,0.001802,0.001802
12,677.075,1.03069,0.91737,1.21433,0.85888,0.71757,0.82992,0.59462,1.05854,0.93019,1.23873,0.0017822,0.0017822,0.0017822
13,731.264,1.03083,0.91107,1.21109,0.84053,0.70455,0.81432,0.5883,1.03692,0.96654,1.22806,0.0017624,0.0017624,0.0017624
14,785.913,0.99796,0.86819,1.20405,0.84157,0.83751,0.88179,0.63475,0.99229,0.80485,1.17242,0.0017426,0.0017426,0.0017426
15,840.055,0.9705,0.83924,1.17966,0.87677,0.79841,0.88859,0.63846,0.97612,0.80149,1.16829,0.0017228,0.0017228,0.0017228
16,894.468,0.99333,0.86513,1.19288,0.87783,0.78835,0.88683,0.64565,0.96823,0.79042,1.15028,0.001703,0.001703,0.001703
